Tabela,Funcao,Conjunto,Colisoes
1000,Divisao,registros_1M.txt,999000
1000,Multiplicacao,registros_1M.txt,999000
1000,Dobramento,registros_1M.txt,999000
10000,Divisao,registros_1M.txt,990000
10000,Multiplicacao,registros_1M.txt,990000
10000,Dobramento,registros_1M.txt,997998
100000,Divisao,registros_1M.txt,900005
100000,Multiplicacao,registros_1M.txt,900005
100000,Dobramento,registros_1M.txt,997998
1000,Divisao,registros_5M.txt,4999000
1000,Multiplicacao,registros_5M.txt,4999000
1000,Dobramento,registros_5M.txt,4999000
10000,Divisao,registros_5M.txt,4990000
10000,Multiplicacao,registros_5M.txt,4990000
10000,Dobramento,registros_5M.txt,4997994
100000,Divisao,registros_5M.txt,4900000
100000,Multiplicacao,registros_5M.txt,4900000
100000,Dobramento,registros_5M.txt,4997994
1000,Divisao,registros_20M.txt,19999000
1000,Multiplicacao,registros_20M.txt,19999000
1000,Dobramento,registros_20M.txt,19999000
10000,Divisao,registros_20M.txt,19990000
10000,Multiplicacao,registros_20M.txt,19990000
10000,Dobramento,registros_20M.txt,19997993
100000,Divisao,registros_20M.txt,19900000
100000,Multiplicacao,registros_20M.txt,19900000
100000,Dobramento,registros_20M.txt,19997993
1000,Divisao_Rehash,registros_1M.txt,477768
1000,Multiplicacao_Rehash,registros_1M.txt,480071
