Tabela,Funcao,Conjunto,Colisoes
1000,Divisao,registros_1M.txt,999000
1000,Multiplicacao,registros_1M.txt,999000
1000,Dobramento,registros_1M.txt,999000
10000,Divisao,registros_1M.txt,990000
10000,Multiplicacao,registros_1M.txt,990000
10000,Dobramento,registros_1M.txt,997998
100000,Divisao,registros_1M.txt,900005
100000,Multiplicacao,registros_1M.txt,900005
100000,Dobramento,registros_1M.txt,997998
1000,Divisao,registros_5M.txt,4999000
1000,Multiplicacao,registros_5M.txt,4999000
1000,Dobramento,registros_5M.txt,4999000
10000,Divisao,registros_5M.txt,4990000
10000,Multiplicacao,registros_5M.txt,4990000
10000,Dobramento,registros_5M.txt,4997994
100000,Divisao,registros_5M.txt,4900000
100000,Multiplicacao,registros_5M.txt,4900000
100000,Dobramento,registros_5M.txt,4997994
1000,Divisao,registros_20M.txt,19999000
1000,Multiplicacao,registros_20M.txt,19999000
1000,Dobramento,registros_20M.txt,19999000
10000,Divisao,registros_20M.txt,19990000
10000,Multiplicacao,registros_20M.txt,19990000
10000,Dobramento,registros_20M.txt,19997993
100000,Divisao,registros_20M.txt,19900000
100000,Multiplicacao,registros_20M.txt,19900000
100000,Dobramento,registros_20M.txt,19997993
1000,Divisao_Rehash,registros_1M.txt,186451
1000,Multiplicacao_Rehash,registros_1M.txt,186393
1000,Dobramento_Rehash,registros_1M.txt,179866435
10000,Divisao_Rehash,registros_1M.txt,26050
10000,Multiplicacao_Rehash,registros_1M.txt,26567
10000,Dobramento_Rehash,registros_1M.txt,32627576
100000,Divisao_Rehash,registros_1M.txt,472993
100000,Multiplicacao_Rehash,registros_1M.txt,473338
100000,Dobramento_Rehash,registros_1M.txt,307487118
1000,Divisao_Rehash,registros_5M.txt,2094306
1000,Multiplicacao_Rehash,registros_5M.txt,2092901
1000,Dobramento_Rehash,registros_5M.txt,-1375142363
10000,Divisao_Rehash,registros_5M.txt,988912
10000,Multiplicacao_Rehash,registros_5M.txt,1015953
10000,Dobramento_Rehash,registros_5M.txt,216325583
100000,Divisao_Rehash,registros_5M.txt,139386
100000,Multiplicacao_Rehash,registros_5M.txt,142938
100000,Dobramento_Rehash,registros_5M.txt,828964711
1000,Divisao_Rehash,registros_20M.txt,8374000
1000,Multiplicacao_Rehash,registros_20M.txt,9416067
