Tabela,Funcao,Conjunto,TempoInsercao(ms),TempoBusca(ms)
1000,Divisao,registros_1M.txt,62,5
1000,Multiplicacao,registros_1M.txt,216,0
1000,Dobramento,registros_1M.txt,82,1
10000,Divisao,registros_1M.txt,80,0
10000,Multiplicacao,registros_1M.txt,285,0
10000,Dobramento,registros_1M.txt,34,1
100000,Divisao,registros_1M.txt,116,0
100000,Multiplicacao,registros_1M.txt,313,0
100000,Dobramento,registros_1M.txt,34,0
1000,Divisao,registros_5M.txt,302,1
1000,Multiplicacao,registros_5M.txt,944,1
1000,Dobramento,registros_5M.txt,305,3
10000,Divisao,registros_5M.txt,226,1
10000,Multiplicacao,registros_5M.txt,1106,1
10000,Dobramento,registros_5M.txt,147,1
100000,Divisao,registros_5M.txt,605,0
100000,Multiplicacao,registros_5M.txt,1724,0
100000,Dobramento,registros_5M.txt,320,2
1000,Divisao,registros_20M.txt,886,4
1000,Multiplicacao,registros_20M.txt,4154,4
1000,Dobramento,registros_20M.txt,1155,4
10000,Divisao,registros_20M.txt,2121,1
10000,Multiplicacao,registros_20M.txt,4428,0
10000,Dobramento,registros_20M.txt,1302,2
100000,Divisao,registros_20M.txt,3822,1
100000,Multiplicacao,registros_20M.txt,7165,1
100000,Dobramento,registros_20M.txt,1210,2
1000,Divisao_Rehash,registros_1M.txt,379,1
1000,Multiplicacao_Rehash,registros_1M.txt,817,0
1000,Dobramento_Rehash,registros_1M.txt,2560,0
10000,Divisao_Rehash,registros_1M.txt,338,0
10000,Multiplicacao_Rehash,registros_1M.txt,837,0
10000,Dobramento_Rehash,registros_1M.txt,3161,1
100000,Divisao_Rehash,registros_1M.txt,236,0
100000,Multiplicacao_Rehash,registros_1M.txt,590,0
100000,Dobramento_Rehash,registros_1M.txt,2271,0
1000,Divisao_Rehash,registros_5M.txt,1589,0
1000,Multiplicacao_Rehash,registros_5M.txt,3081,0
1000,Dobramento_Rehash,registros_5M.txt,49830,2
10000,Divisao_Rehash,registros_5M.txt,2008,0
10000,Multiplicacao_Rehash,registros_5M.txt,3507,0
10000,Dobramento_Rehash,registros_5M.txt,64579,2
100000,Divisao_Rehash,registros_5M.txt,2479,0
100000,Multiplicacao_Rehash,registros_5M.txt,4482,0
100000,Dobramento_Rehash,registros_5M.txt,84873,1
1000,Divisao_Rehash,registros_20M.txt,9108,0
1000,Multiplicacao_Rehash,registros_20M.txt,12596,0
